id,date,region,state,state_code,sector,station_type,station_name,station_unit,monitored_capacity,planned_generation,actual_generation,capacity_utilization
3,9/1/2017,Northern,Delhi,7.0,State,Ther (Gt),Pragati Ccgt-Iii,Single Unit,1500.0,6.0,10.89,0.726
26,9/1/2017,Northern,Himachal Pradesh,2.0,State,Hydro,Bhakra H P S,Single Unit,1325.0,16.44,17.95,1.3547169811320754
39,9/1/2017,Northern,Himachal Pradesh,2.0,Private,Hydro,Karcham Wangtoo Hps,Single Unit,1000.0,16.67,25.59,2.5589999999999997
49,9/1/2017,Northern,Himachal Pradesh,2.0,Central,Hydro,Nathpa Jhakri Hps,Single Unit,1500.0,26.63,36.61,2.4406666666666665
158,9/1/2017,Northern,Uttarakhand,5.0,Central,Hydro,Tehri St-1 Hps,Single Unit,1000.0,12.9,7.6,0.76
360,9/1/2017,Western,Gujarat,24.0,State,Hydro,S Sarovar Rbph Hps,Single Unit,1200.0,28.4,0.0,0.0
388,9/1/2017,Western,Gujarat,24.0,Private,Ther (Gt),Dgen Mega Ccpp,Single Unit,1200.0,0.0,0.0,0.0
392,9/1/2017,Western,Gujarat,24.0,Private,Ther (Gt),Sugen Ccpp,Single Unit,1147.5,11.49,20.16,1.7568627450980392
452,9/1/2017,Western,Madhya Pradesh,23.0,Central,Hydro,Indira Sagar Hps,Single Unit,1000.0,6.33,0.45,0.045
493,9/1/2017,Western,Maharashtra,27.0,State,Hydro,Koyna-Iv Hps,Single Unit,1000.0,3.37,2.62,0.262
551,9/1/2017,Western,Maharashtra,27.0,Central,Ther (Gt),Ratnagiri Ccpp,Single Unit,2220.0,11.58,12.07,0.5436936936936937
634,9/1/2017,Southern,Karnataka,29.0,State,Hydro,Sharavathi Hps,Single Unit,1035.0,12.77,7.53,0.727536231884058
747,9/1/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 1,1000.0,21.6,17.93,1.7929999999999997
748,9/1/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 2,1000.0,19.27,0.0,0.0
871,9/1/2017,Eastern,Sikkim,11.0,State,Hydro,Teesta-Iii Hps,Single Unit,1200.0,24.0,23.68,1.9733333333333332
980,9/2/2017,Northern,Delhi,7.0,State,Ther (Gt),Pragati Ccgt-Iii,Single Unit,1500.0,6.0,9.3,0.6200000000000001
1003,9/2/2017,Northern,Himachal Pradesh,2.0,State,Hydro,Bhakra H P S,Single Unit,1325.0,16.44,12.57,0.948679245283019
1016,9/2/2017,Northern,Himachal Pradesh,2.0,Private,Hydro,Karcham Wangtoo Hps,Single Unit,1000.0,16.67,24.0,2.4
1026,9/2/2017,Northern,Himachal Pradesh,2.0,Central,Hydro,Nathpa Jhakri Hps,Single Unit,1500.0,26.63,37.31,2.4873333333333334
1135,9/2/2017,Northern,Uttarakhand,5.0,Central,Hydro,Tehri St-1 Hps,Single Unit,1000.0,12.9,7.07,0.707
1337,9/2/2017,Western,Gujarat,24.0,State,Hydro,S Sarovar Rbph Hps,Single Unit,1200.0,28.4,0.0,0.0
1365,9/2/2017,Western,Gujarat,24.0,Private,Ther (Gt),Dgen Mega Ccpp,Single Unit,1200.0,0.0,0.0,0.0
1369,9/2/2017,Western,Gujarat,24.0,Private,Ther (Gt),Sugen Ccpp,Single Unit,1147.5,11.49,20.13,1.7542483660130719
1429,9/2/2017,Western,Madhya Pradesh,23.0,Central,Hydro,Indira Sagar Hps,Single Unit,1000.0,6.33,0.19,0.019
1470,9/2/2017,Western,Maharashtra,27.0,State,Hydro,Koyna-Iv Hps,Single Unit,1000.0,3.37,3.03,0.303
1528,9/2/2017,Western,Maharashtra,27.0,Central,Ther (Gt),Ratnagiri Ccpp,Single Unit,2220.0,11.58,12.29,0.5536036036036035
1611,9/2/2017,Southern,Karnataka,29.0,State,Hydro,Sharavathi Hps,Single Unit,1035.0,12.77,5.76,0.5565217391304347
1724,9/2/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 1,1000.0,21.6,21.06,2.106
1725,9/2/2017,Southern,Tamil Nadu,33.0,Central,Nuclear,Kudankulam,Unit 2,1000.0,19.27,0.0,0.0
1848,9/2/2017,Eastern,Sikkim,11.0,State,Hydro,Teesta-Iii Hps,Single Unit,1200.0,24.0,21.26,1.771666666666667
